,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
0,1,Christmas Street,Kerry,Jones,34,Head,Married,Female,Mechanical engineer,None,None
1,1,Christmas Street,Allan,Collins,36,Husband,Married,Male,Ranger/warden,None,None
2,2,Christmas Street,Michelle,Davies,74,Head,Widowed,Female,Retired Oncologist,None,Christian
3,2,Christmas Street,Jonathan,Davies,41,Son,Divorced,Male,Ceramics designer,None,Christian
4,2,Christmas Street,Paige,Davies,39,Daughter,Widowed,Female,Unemployed,None,Christian
5,2,Christmas Street,Patrick,Davies,35,Son,Single,Male,Unemployed,None,Christian
6,2,Christmas Street,Kelly,Davies,29,Daughter,Single,Female,Unemployed,None,Christian
7,3,Christmas Street,Gerald,Hughes,66,Head,Married,m,Engineering geologist,None,None
8,3,Christmas Street,Barbara,Hughes,64,Wife,Married,Female,"Engineer, materials",None,None
9,4,Christmas Street,Heather,Rowe,72,Head,Married,Female,Retired Landscape architect,None,Christian
10,4,Christmas Street,Francis,Rowe,74,Husband,Married,Male,Retired Farm manager,None,Christian
11,5,Christmas Street,Linda,Williams,29,Head,Divorced,Female,Medical secretary,None,None
12,5,Christmas Street,William,Williams,9,Son,NA,Male,Student,None,NA
13,6,Christmas Street,Ann,Lewis,38,Head,Divorced,Female,Financial risk analyst,None,Catholic
14,6,Christmas Street,Terence,Lewis,7,Son,NA,Male,Student,None,NA
15,6,Christmas Street,Leonard,Lewis,7,Son,NA,Male,Student,None,NA
16,6,Christmas Street,Clare,Lewis,6,Daughter,NA,Female,Student,None,NA
17,6,Christmas Street,Danny,Lewis,5,Son,NA,Male,Student,None,NA
18,7,Christmas Street,Alexandra,Walker,72,Head,Married,Female,Retired Building surveyor,None,None
19,7,Christmas Street,Jason,Walker,75,Husband,Married,Male,Retired Paediatric nurse,None,None
20,8,Christmas Street,Kim,Hawkins,39,Head,Widowed,Female,Unemployed,None,Christian
21,8,Christmas Street,Frank,Hawkins,15,Son,NA,Male,Student,None,NA
22,9,Christmas Street,Stephanie,Roberts,67,Head,Married,Female,Chief Strategy Officer,None,Methodist
23,9,Christmas Street,Christian,Roberts,72,Husband,Married,Male,Retired Corporate investment banker,None,Methodist
24,10,Christmas Street,Alison,Harrison,38,Head,Divorced,Female,Trade mark attorney,None,Catholic
25,10,Christmas Street,Abigail,Harrison,0,Daughter,NA,Female,Child,None,NA
26,11,Christmas Street,Marion,Hilton,59,Head,Married,Female,"Psychologist, counselling",None,Christian
27,11,Christmas Street,Henry,Hilton-Coleman,64,Husband,Married,Male,Medical sales representative,None,Christian
28,11,Christmas Street,Natasha,Hilton-Coleman,14,Daughter,NA,Female,Student,None,NA
29,12,Christmas Street,June,White,32,Head,Married,Female,Colour technologist,None,None
30,12,Christmas Street,Ronald,White,37,Husband,Married,Male,Ship broker,None,None
31,12,Christmas Street,Samantha,White,4,Daughter,NA,Female,Child,None,NA
32,12,Christmas Street,Kathleen,White,1,Daughter,NA,Female,Child,None,NA
33,12,Christmas Street,Gillian,Hopkins-White,0,Daughter,NA,Female,Child,None,NA
34,13,Christmas Street,Leigh,Mason,28,Head,Single,male,Unemployed,None,None
35,14,Christmas Street,Mark,Bell,31,Head,Divorced,Male,Medical physicist,None,Methodist
36,15,Christmas Street,Harry,Naylor,47,Head,Married,Male,Corporate treasurer,None,Catholic
37,15,Christmas Street,Beth,Naylor,42,Wife,Married,Female,Ambulance person,None,None
38,16,Christmas Street,Gareth,Poole,37,Head,Single,Male,Chartered accountant,None,Christian
39,17,Christmas Street,Melanie,Newman,73,Head,Single,Female,Retired Chartered accountant,None,Christian
40,17,Christmas Street,Nicola,Newman,44,Daughter,Single,Female,Research scientist (life sciences),None,Christian
41,17,Christmas Street,Debra,Newman,43,Daughter,Single,Female,Retail manager,None,Christian
42,17,Christmas Street,Henry,Newman,41,Son,Widowed,Male,Stage manager,None,Christian
43,17,Christmas Street,Diana,Newman,38,Daughter,Single,Female,Archivist,None,None
44,18,Christmas Street,Lynda,French,30,Head,Single,Female,Civil Service fast streamer,None,None
45,18,Christmas Street,Pauline,French,2,Daughter,NA,Female,Child,None,NA
46,18,Christmas Street,Danny,Marsh,30,Lodger,Single,Male,Actor,None,Methodist
47,18,Christmas Street,Carl,Roberts,39,Lodger,Divorced,Male,Optometrist,None,None
48,18,Christmas Street,Lynne,Begum,28,Lodger,Single,female,Production manager,None,Catholic
49,19,Christmas Street,Ian,Stewart,36,Head,Single,Male,Actuary,None,Christian
50,19,Christmas Street,Hannah,Humphreys,35,Partner,Single,Female,Jewellery designer,None,None
51,19,Christmas Street,June,Hughes,44,Lodger,Divorced,Female,Public house manager,None,None
52,19,Christmas Street,Nicola,Daniels,37,Lodger,Single,Female,Catering manager,None,Methodist
53,20,Christmas Street,Helen,Smith,46,Head,Married,Female,"Engineer, materials",None,Christian
54,20,Christmas Street,John,Smith,50,Husband,Married,Male,"Runner, broadcasting/film/video",None,None
55,20,Christmas Street,Rachel,Smith,24,Daughter,Widowed,Female,Gaffer,None,Christian
56,20,Christmas Street,Adam,Smith,20,Son,Single,Male,University Student,None,Christian
57,20,Christmas Street,Ashley,Smith,17,Son,NA,Male,Student,None,NA
58,21,Christmas Street,Hayley,Saunders,70,Head,Married,Female,Retired Communications engineer,None,None
